stopId,code,stop_name,type,zone,ward,address,street,support_disability,status,lng,lat,search,routes
7683,SWB1_4,Ga tàu thuỷ Bình An,Trạm tạm,TP. Thủ Đức - KV1,Phường Bình An,Ga tàu thuỷ Bình An,Đường số 21,,Chưa khai thác,106.728734,10.797349,GttBA GttBA Ds21,"153, SWB1"
7870,TPTĐ 001,Công viên Bờ Sông Sài Gòn-Thảo Điền,Nhà chờ,TP. Thủ Đức - KV1,Phường Thảo Điền,Đối diện Công viên Bờ Sông Sài Gòn-Thảo Điền,Nguyễn Văn Hưởng,Có,Đang khai thác,106.72854,10.801637,CvBSSGD DdCvBSSGD NVH,153
7872,TPTĐ 003,Căn hộ Hoàng Anh,Nhà chờ,TP. Thủ Đức - KV1,Phường Thảo Điền,37,Nguyễn Văn Hưởng,Có,Đang khai thác,106.72686,10.804302,ChHA 37 NVH,153
7874,TPTĐ 005,Khu biệt thự cao cấp Thảo Điền,Nhà chờ,TP. Thủ Đức - KV1,Phường Thảo Điền,Đối diện 25 HOLM,Nguyễn Văn Hưởng,Có,Đang khai thác,106.725138,10.810821,KbtccTD Dd25H NVH,153
7875,TPTĐ 007,Tòa nhà River Garden,Trụ dừng,TP. Thủ Đức - KV1,Phường Thảo Điền,Giữa chung cư River Garden,Nguyễn Văn Hưởng,Có,Đang khai thác,106.727113,10.81534,TnRG GccRG NVH,153
7878,TPTĐ 010,Chung cư XI Riverview Palace,Nhà chờ,TP. Thủ Đức - KV1,Phường Thảo Điền,190 - Chung cư XI,Nguyễn Văn Hưởng,Có,Đang khai thác,106.730777,10.817397,CcXRP 190-CcX NVH,153
7879,TPTĐ 011,"BIS HCMC, Junior Campus",Trụ dừng,TP. Thủ Đức - KV1,Phường Thảo Điền,204,Nguyễn Văn Hưởng,Có,Đang khai thác,106.732504,10.813029,BHJC 204 NVH,153
7882,TPTĐ 014,Ban điều hành khu phố 4,Nhà chờ,TP. Thủ Đức - KV1,Phường Thảo Điền,Đầu đường số 4 (Ban điều hành khu phố 4),Nguyễn Văn Hưởng,Có,Đang khai thác,106.731993,10.809371,Bdhkp4 Dds4(dhkp4) NVH,153
7117,Q2 101,Làng báo chí,Trụ dừng,TP. Thủ Đức - KV1,Phường Thảo Điền,89-91 ,Thảo Điền,,Tạm ngưng khai thác,106.734173,10.807208,Lbc 89-91 TD,153
8086,TPTĐ 216,Ga metro An Phú,Nhà chờ,TP. Thủ Đức - KV1,Phường An Phú,Cạnh ga metro An Phú,Song Hành trái Xa Lộ Hà Nội,Có,Đang khai thác,106.741664,10.801914,GmAP CgmAP SHtXLHN,"153, 154V"
7916,TPTĐ 048,The Estella,Trụ dừng,TP. Thủ Đức - KV1,Phường An Phú,1B31 Khu Phố 5,Đường số 24,Có,Đang khai thác,106.748025,10.800047,TE 1B31KP5 Ds24,153
7917,TPTĐ 049,Chung cư Lexington - Block C ,Trụ dừng,TP. Thủ Đức - KV1,Phường An Phú,"Gần Ngân hàng Shinhan, Chi nhánh Đông Sài Gòn",Lồ Bắc,Có,Đang khai thác,106.751557,10.799281,CcL-BC GNhSCnDSG LB,153
7919,TPTĐ 051,Lexington Residence,Trụ dừng,TP. Thủ Đức - KV1,Phường An Phú,Nằm giữa Lexington Residence với Volkswagen An Phú,Mai Chí Thọ,Có,Đang khai thác,106.752434,10.798072,LR NgLRvVAP MCT,"153, 154V, 99"
8170,TPTĐ 246,Thân Văn Nhiếp,Trụ dừng,TP. Thủ Đức - KV1,Phường An Phú,160,Nguyễn Thị Định,,Đang khai thác,106.75426,10.7901,TVN 160 NTD,"153, 154D, 154V, 43, 88"
3998,Q2 047,Trường Giồng Ông tố,Ô sơn,TP. Thủ Đức - KV1,,112-114,Nguyễn Duy Trinh,,Đang khai thác,106.758804,10.787994,TGOt 112-114 NDT,"153, 154V, 88"
4000,Q2 048,Nhà thiếu nhi Quận 2,Nhà chờ,TP. Thủ Đức - KV1,,Nhà thiếu nhi Quận 2,Nguyễn Duy Trinh,,Đang khai thác,106.762085,10.787743,NtnQ2 NtnQ2 NDT,"153, 154V, 88"
3993,Q2 049,Công ty Bình An,Trụ dừng,TP. Thủ Đức - KV1,,246,Nguyễn Duy Trinh,,Đang khai thác,106.76458,10.787539,CtBA 246 NDT,"153, 154V, 88"
4002,Q2 050,Lê Văn Thịnh,Trụ dừng,TP. Thủ Đức - KV1,,396A (400),Nguyễn Duy Trinh,,Đang khai thác,106.77021,10.788514,LVT 396A( NDT,"153, 29, 88"
4004,Q2 051,Nhà Sách Nguyễn Văn Cừ,Trụ dừng,TP. Thủ Đức - KV1,,476-480,Nguyễn Duy Trinh,,Đang khai thác,106.772842,10.788264,NSNVC 476-480 NDT,"153, 29, 88"
3996,Q2 052,Đường số 6,Trụ dừng,TP. Thủ Đức - KV1,,546-548,Nguyễn Duy Trinh,,Đang khai thác,106.7752,10.788046,Ds6 546-548 NDT,"153, 29, 88"
7944,TPTĐ 076,Trường tiểu học Nguyễn Văn Trỗi,Nhà chờ,TP. Thủ Đức - KV1,Phường Bình Trưng Đông,Đối diện trường tiểu học Nguyễn Văn Trỗi (đối diện 6),Đường 63,Có,Đang khai thác,106.777131,10.789688,TthNVT DdtthNVT(d6) D63,153
